TYPENAME,,Assembly_2FlexDims1Fixed_Serrated_Stair,,Assembly,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Assembly.Name,,,,,,,,,,
,,InputExtensibility,,InputPreset,,PinTarget,,,,,,,,,,
INPUTPIN,,1..1,,ChildTread,,Tread,,,,,,,,,,
INPUTPIN,,0..1,,ChildRiser,,Riser,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Assembly.Name,DataType=Dimensions,Dimension,Value,DataType=StartsInProject,X,DataType=InputPins,ChildTread,ChildRiser
PRESET,,178B1836-F871-5140-AFD4-CF2E2E615509,,"Assembly_2FlexDims1Fixed_Serrated_Stair
Assembly_2FlexDims1Fixed_PlanarGroup_Tread
Assembly_2FlexDims1Fixed_PlanarPattern
Part_0FlexDims3Fixed_ModulePlanar_Board/Panel_OSB (Oriented Strand Board)-Length-96in-Width-48in-Thickness-0.375in-BevelWidth-0.125in-Finish1-0RawMaterial-Wood Strands-FFFFFF
0LayerPattern_2D-Running Bond
Part_1FlexDim2Fixed_Gap2D-Width-0in-Recess-0in-Finish1-0RawMaterial-Air-FFFFFF
55F34BBF-9A73-B744-B610-49EF26889D8B
8BBF1960-F91A-824E-9913-259C9A9C1AB1
Assembly_2FlexDims1Fixed_PlanarGroup_Riser
Assembly_2FlexDims1Fixed_PlanarPattern
Part_0FlexDims3Fixed_ModulePlanar_Board/Panel_OSB (Oriented Strand Board)-Length-96in-Width-48in-Thickness-0.375in-BevelWidth-0.125in-Finish1-0RawMaterial-Wood Strands-FFFFFF
0LayerPattern_2D-Running Bond
Part_1FlexDim2Fixed_Gap2D-Width-0in-Recess-0in-Finish1-0RawMaterial-Air-FFFFFF
55F34BBF-9A73-B744-B610-49EF26889D8B
9B189D5C-2E19-C04B-98FE-F14789D456FE",,Assembly_2FlexDims1Fixed_Serrated_Stair,,OSB + Plywood Stair,,TreadDepthIdeal,11in,,X,,"Assembly_2FlexDims1Fixed_PlanarGroup_Tread
Assembly_2FlexDims1Fixed_PlanarPattern
Part_0FlexDims3Fixed_ModulePlanar_Board/Panel_OSB (Oriented Strand Board)-Length-96in-Width-48in-Thickness-0.375in-BevelWidth-0.125in-Finish1-0RawMaterial-Wood Strands-FFFFFF
0LayerPattern_2D-Running Bond
Part_1FlexDim2Fixed_Gap2D-Width-0in-Recess-0in-Finish1-0RawMaterial-Air-FFFFFF
55F34BBF-9A73-B744-B610-49EF26889D8B
8BBF1960-F91A-824E-9913-259C9A9C1AB1","Assembly_2FlexDims1Fixed_PlanarGroup_Riser
Assembly_2FlexDims1Fixed_PlanarPattern
Part_0FlexDims3Fixed_ModulePlanar_Board/Panel_OSB (Oriented Strand Board)-Length-96in-Width-48in-Thickness-0.375in-BevelWidth-0.125in-Finish1-0RawMaterial-Wood Strands-FFFFFF
0LayerPattern_2D-Running Bond
Part_1FlexDim2Fixed_Gap2D-Width-0in-Recess-0in-Finish1-0RawMaterial-Air-FFFFFF
55F34BBF-9A73-B744-B610-49EF26889D8B
9B189D5C-2E19-C04B-98FE-F14789D456FE"
PRESET,,,,,,,,,,IconRise,36in,,,,,
PRESET,,,,,,,,,,IconRun,66in,,,,,
PRESET,,,,,,,,,,IconWidth,48in,,,,,
