TYPENAME,,Part,,Part,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Part.Name,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Part.Name,DataType=Mesh,Mesh,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTint,DataType=StartsInProject,x,
PRESET,,1138C284-4C6C-0A4E-8B0D-FFF87A5275DA,,Part_2FlexDims1Fixed_Frame-Property_Spatiality_Mesh_Frame-Cabinet-Frame-Framed-01.Cabinet-Frame-Framed-01'-Finish1-0RawMaterial-Plywood-0RawMaterial-Walnut-FFFFFF-1138C284-4C6C-0A4E-8B0D-FFF87A5275DA,,Part_2FlexDims1Fixed_Frame,,"Face Frame, Walnut, Natural",,Property_Spatiality_Mesh_Frame-Cabinet-Frame-Framed-01.Cabinet-Frame-Framed-01',,Finish1,0RawMaterial-Plywood,0RawMaterial-Walnut,FFFFFF,,,
PRESET,,88DBB205-F808-EB45-8D66-7BAAD30607DB,,Part_2FlexDims1Fixed_Frame-Property_Spatiality_Mesh_Frame-Cabinet-Frame-Framed-01.Cabinet-Frame-Framed-01'-Finish1-0RawMaterial-Plywood-0RawMaterial-Paint-F3F1ED-88DBB205-F808-EB45-8D66-7BAAD30607DB,,Part_2FlexDims1Fixed_Frame,,"Face Frame, Paint, Gentle White",,Property_Spatiality_Mesh_Frame-Cabinet-Frame-Framed-01.Cabinet-Frame-Framed-01',,Finish1,0RawMaterial-Plywood,0RawMaterial-Paint,F3F1ED,,,
PRESET,,0A7EFF2D-C090-2C4C-81A0-9629E618E289,,Part_2FlexDims1Fixed_Frame-Property_Spatiality_Mesh_Frame-Cabinet-Frame-Framed-01.Cabinet-Frame-Framed-01'-Finish1-0RawMaterial-Plywood-0RawMaterial-Paint-ABABAB-0A7EFF2D-C090-2C4C-81A0-9629E618E289,,Part_2FlexDims1Fixed_Frame,,"Face Frame, Paint, Dark Grey",,Property_Spatiality_Mesh_Frame-Cabinet-Frame-Framed-01.Cabinet-Frame-Framed-01',,Finish1,0RawMaterial-Plywood,0RawMaterial-Paint,ABABAB,,,
PRESET,,82DF8505-D0A5-F147-8ABA-88BFC6E5790E,,Part_2FlexDims1Fixed_Frame-Property_Spatiality_Mesh_Frame-Cabinet-Frame-Frameless-01.Cabinet-Frame-Frameless-01'-Finish1-0RawMaterial-Plywood-0RawMaterial-Paint-FFFFFF-82DF8505-D0A5-F147-8ABA-88BFC6E5790E,,Part_2FlexDims1Fixed_Frame,,"""Frameless"" Frame, Ash, Natural",,Property_Spatiality_Mesh_Frame-Cabinet-Frame-Frameless-01.Cabinet-Frame-Frameless-01',,Finish1,0RawMaterial-Plywood,0RawMaterial-Paint,FFFFFF,,,
PRESET,,9FA7A1CB-FB3A-0B4D-A173-83480FD854B2,,Part_2FlexDims1Fixed_Frame-Property_Spatiality_Mesh_FrameSliding-Cabinet-Frame-Sliding-01.Cabinet-Frame-Sliding-01'-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-364155-9FA7A1CB-FB3A-0B4D-A173-83480FD854B2,,Part_2FlexDims1Fixed_Frame,,"Sliding Frame, Paint, Deep Navy",,Property_Spatiality_Mesh_FrameSliding-Cabinet-Frame-Sliding-01.Cabinet-Frame-Sliding-01',,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,364155,,,
PRESET,,3AE67709-0542-2241-8D11-9A3132139E8B,,Part_2FlexDims1Fixed_Frame-Property_Spatiality_Mesh_FrameSliding-Cabinet-Frame-Sliding-01.Cabinet-Frame-Sliding-01'-Finish1-0RawMaterial-Aluminum-0RawMaterial-Paint-FEF1ED-3AE67709-0542-2241-8D11-9A3132139E8B,,Part_2FlexDims1Fixed_Frame,,"Sliding Frame, Paint, Gentle White",,Property_Spatiality_Mesh_FrameSliding-Cabinet-Frame-Sliding-01.Cabinet-Frame-Sliding-01',,Finish1,0RawMaterial-Aluminum,0RawMaterial-Paint,FEF1ED,,,
PRESET,,7CB22EC7-E589-744A-B60B-D92DE48E17D3,,Part_0FlexDims3Fixed_HandleStatic_LateralPull_Cabinet-Property_Spatiality_Mesh_HandleStatic_LateralPull_Cabinet-Cabinet-Handle-LateralPull-01-HighLOD.Cabinet-Handle-LateralPull-01-HighLOD'-Finish1-0RawMaterial-Aluminum-331F20-7CB22EC7-E589-744A-B60B-D92DE48E17D3,,Part_0FlexDims3Fixed_HandleStatic_LateralPull_Cabinet,,"Lateral Pull Handle 1, Aluminum, Patrician Bronze",,Property_Spatiality_Mesh_HandleStatic_LateralPull_Cabinet-Cabinet-Handle-LateralPull-01-HighLOD.Cabinet-Handle-LateralPull-01-HighLOD',,Finish1,0RawMaterial-Aluminum,,331F20,,,
